timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1511210465221,356,Visit login page,200,OK,Grupa wątków 1-1,text,true,,26800,234,3,3,54,0,27
1511210465399,356,Visit login page,200,OK,Grupa wątków 1-2,text,true,,26800,234,4,4,55,0,26
1511210465556,346,Visit login page,200,OK,Grupa wątków 1-3,text,true,,26800,234,4,4,51,0,26
1511210465743,324,Visit login page,200,OK,Grupa wątków 1-4,text,true,,26800,234,5,5,53,0,25
1511210465915,360,Visit login page,200,OK,Grupa wątków 1-5,text,true,,26800,234,7,7,47,0,22
1511210465578,774,Login,200,OK,Grupa wątków 1-1,text,true,SMOKE_TEST_PASSED,26590,920,7,7,414,0,147
1511210466102,338,Visit login page,200,OK,Grupa wątków 1-6,text,true,,26800,234,7,7,54,0,28
1511210466353,199,HTTP Request Mailbox,200,OK,Grupa wątków 1-1,text,true,number found,26662,1124,8,8,41,0,0
1511210466274,467,Visit login page,200,OK,Grupa wątków 1-7,text,true,,26800,234,9,9,55,0,28
1511210465903,868,Login,200,OK,Grupa wątków 1-3,text,true,SMOKE_TEST_PASSED,26590,920,9,9,462,0,145
1511210466068,801,Login,200,OK,Grupa wątków 1-4,text,true,SMOKE_TEST_PASSED,26590,920,10,10,369,0,151
1511210466442,440,Visit login page,200,OK,Grupa wątków 1-8,text,true,,26800,234,10,10,72,0,27
1511210466554,370,Logout,200,OK,Grupa wątków 1-1,text,true,,11526,1099,10,10,290,0,155
1511210465757,1167,Login,200,OK,Grupa wątków 1-2,text,true,SMOKE_TEST_PASSED,26590,920,10,10,402,0,154
1511210466602,415,Visit login page,200,OK,Grupa wątków 1-9,text,true,,26800,234,10,10,58,0,28
1511210466872,276,HTTP Request Mailbox,200,OK,Grupa wątków 1-4,text,true,number not found,26662,1124,11,11,33,0,0
1511210466441,763,Login,200,OK,Grupa wątków 1-6,text,true,SMOKE_TEST_PASSED,26590,920,11,11,344,0,146
1511210466773,478,HTTP Request Mailbox,200,OK,Grupa wątków 1-3,text,true,number found,26662,1124,11,11,42,0,0
1511210466276,1005,Login,200,OK,Grupa wątków 1-5,text,true,SMOKE_TEST_PASSED,26590,920,11,11,422,0,163
1511210466927,373,HTTP Request Mailbox,200,OK,Grupa wątków 1-2,text,true,number not found,26662,1124,11,11,125,0,0
1511210466777,580,Visit login page,200,OK,Grupa wątków 1-10,text,true,,26800,234,12,12,69,0,37
1511210467207,205,HTTP Request Mailbox,200,OK,Grupa wątków 1-6,text,true,number found,26662,1124,12,12,38,0,0
1511210467283,213,HTTP Request Mailbox,200,OK,Grupa wątków 1-5,text,true,number found,26662,1124,13,13,42,0,0
1511210467150,381,Logout,200,OK,Grupa wątków 1-4,text,true,,11526,1099,13,13,301,0,176
1511210466953,649,Visit login page,200,OK,Grupa wątków 1-11,text,true,,26800,234,12,12,208,0,100
1511210467128,497,Visit login page,200,OK,Grupa wątków 1-12,text,true,,26800,234,12,12,93,0,50
1511210466742,905,Login,200,OK,Grupa wątków 1-7,text,true,SMOKE_TEST_PASSED,26590,920,13,13,442,0,166
1511210467252,436,Logout,200,OK,Grupa wątków 1-3,text,true,,11526,1099,13,13,308,0,165
1511210467302,409,Logout,200,OK,Grupa wątków 1-2,text,true,,11526,1099,12,12,273,0,163
1511210467315,422,Visit login page,200,OK,Grupa wątków 1-13,text,true,,26800,234,11,11,57,0,31
